Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1000uF/16V LOW-ESR","CP_Radial_D10.0mm_P5.00mm",66.000000,-74.000000,0.000000,top
"C3","470uF/10V","CP_Radial_D8.0mm_P3.50mm",55.000000,-27.000000,0.000000,top
"U1","ESP32-DevKitC 38-pin","ESP32-DevKitC",23.000000,-34.000000,0.000000,top
"U2","MPU6050 GY-521 MODULE","module_mpu6050",55.000000,-61.000000,0.000000,top
"U3","GPS NEO-7M GY-GPSU3","GY-GPSU3-NEO7M",107.000000,-42.000000,0.000000,top
"U4","A7680C TDM2309 4G","TDM-4G-V1",79.000000,-76.000000,180.000000,top
